mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on
1138,gtfs,IT,Piemonte,,Bus Regione Piemonte,,https://transitfeeds.com/p/cuneo/1191/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-bus-regione-piemonte-gtfs-1138.zip?alt=media,,43.891129,46.41969,6.658442,9.176198,2022-03-23T18:31:14+00:00
1139,gtfs,DE,,,"DB, SBB, EC, ÖBB, NS, DSB, MAV, CD, PKP, RE, DPN, RZD, SWX, CFL",,https://transitfeeds.com/p/deutsche-bahn/837/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-unknown-db-gtfs-1139.zip?alt=media,,41.900492,56.150076,1.850178,37.579809,2022-03-23T18:31:19+00:00
1140,gtfs,US,Indiana,Fort Wayne,Citilink,,https://transitfeeds.com/p/fort-wayne-citilink/378/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-indiana-citilink-gtfs-1140.zip?alt=media,,41.006285,41.190369,-85.27113,-85.013817,2022-03-23T18:31:25+00:00
1141,gtfs,US,Colorado,,Dolores County,,https://data.trilliumtransit.com/gtfs/dolorescounty-co-us/dolorescounty-co-us--flex-v2.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-dolores-county-gtfs-1141.zip?alt=media,,37.391704,37.763749,-108.905181,-107.925101,2022-04-26T01:07:51+00:00
1142,gtfs,IT,Piemonte,Turin,Gruppo Torinese Trasporti,,https://transitfeeds.com/p/gruppo-torinese-trasporti/51/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-gruppo-torinese-trasporti-gtfs-1142.zip?alt=media,,44.3852,45.55424,7.19198,8.45961,2022-03-23T18:32:35+00:00
1143,gtfs,US,Florida,Orlando,I-RIDE Trolley (I-RIDE),,https://transitfeeds.com/p/i-ride-trolley/909/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-i-ride-trolley-i-ride-gtfs-1143.zip?alt=media,,28.386124,28.485502523023698,-81.489451,-81.450202,2022-03-23T18:32:37+00:00
1144,gtfs,NZ,,,InterCity Group,,https://transitfeeds.com/p/intercity-group/744/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/nz-unknown-intercity-group-gtfs-1144.zip?alt=media,,-46.4118867,-34.990532,167.714045,178.020433,2022-03-23T18:32:40+00:00
1145,gtfs,US,Missouri,St. Louis,Madison County Transit,,https://transitfeeds.com/p/madison-county-transit/1146/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-missouri-madison-county-transit-gtfs-1145.zip?alt=media,,38.624521,38.964669,-90.280942,-89.697,2022-03-23T18:32:47+00:00
1146,gtfs,AR,Córdoba,,Mar Chiquita SRL,,https://transitfeeds.com/p/mar-chiquita-srl/805/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-cordoba-mar-chiquita-srl-gtfs-1146.zip?alt=media,,-31.439129,-31.300363,-64.4933,-62.091409,2022-03-23T18:32:49+00:00
1147,gtfs,IT,Puglia,Molfetta,Mobilità e Trasporti Molfetta,,https://transitfeeds.com/p/mobilita-e-trasporti-molfetta/411/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-puglia-mobilita-e-trasporti-molfetta-gtfs-1147.zip?alt=media,,41.1724305772135,41.2143614292278,16.5415012977306,16.613556,2022-03-23T18:32:50+00:00
