mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,Transitland ID,Transit Feeds ID
179,gtfs,US,Colorado,Fort Collins,Transfort – City of Fort Collins (Transfort),,http://www.ridetransfort.com/img/site_specific/uploads/google_transit.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-colorado-transfort-city-of-fort-collins-transfort-gtfs-179.zip?alt=media,http://www.ridetransfort.com/img/site_specific/uploads/Transfort_GTFS_License_Agreement.pdf,40.005197,40.615324,-105.276138,-104.996501,2022-03-14T21:16:05+00:00,,transfort/508
250,gtfs,US,Oregon,Yamhill,Yamhill County Transit Area,,http://ycta.connexionz.net/rtt/public/resource/gtfs.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-yamhill-county-transit-area-gtfs-250.zip?alt=media,,44.951319,45.521608,-123.617235,-122.768607,2022-03-15T17:44:11+00:00,,yamhill-county-transit-area/490
251,gtfs,US,Oregon,Woodburn,Woodburn Transit Service (WTS),,http://oregon-gtfs.com/gtfs_data/woodburn-or-us/woodburn-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-woodburn-transit-service-wts-gtfs-251.zip?alt=media,,44.979376,45.1565210390247,-122.979012,-122.830040925148,2022-03-15T17:44:13+00:00,,woodburn-transit-service/489
254,gtfs,US,Oregon,Portland,Washington Park Shuttle,,http://oregon-gtfs.com/gtfs_data/washingtonparkshuttle-or-us/washingtonparkshuttle-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-washington-park-shuttle-gtfs-254.zip?alt=media,,45.510506,45.521694,-122.716926,-122.700742129279,2022-03-15T17:44:17+00:00,,washington-park-shuttle/758
255,gtfs,US,Oregon,Portland,Swan Island Evening Shuttle,,http://oregon-gtfs.com/gtfs_data/swanisland-or-us/swanisland-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-swan-island-evening-shuttle-gtfs-255.zip?alt=media,,45.5183498528882,45.572858,-122.718875009787,-122.665648,2022-03-15T17:44:18+00:00,,swan-island-evening-shuttle/484
260,gtfs,US,Oregon,Hood River,Columbia Area Transit (CAT),,http://oregon-gtfs.com/gtfs_data/hoodriver-or-us/hoodriver-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-columbia-area-transit-cat-gtfs-260.zip?alt=media,,45.3026111500122,45.727946,-122.652617,-120.96411126454,2022-03-15T17:44:27+00:00,,columbia-area-transit/443
261,gtfs,US,Oregon,Sandy,Sandy Area Metro (SAM),,http://oregon-gtfs.com/gtfs_data/sandy-or-us/sandy-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-sandy-area-metro-sam-gtfs-261.zip?alt=media,,45.285866,45.502997144364,-122.427862,-121.7089955,2022-03-15T17:44:29+00:00,,"sandy-area-metro/480, mt-hood-express/473"
289,gtfs,US,Oregon,Wallowa,"Wallowa Community Connection (WCC), Northeast Oregon Public Transit",,http://oregon-gtfs.com/gtfs_data/northeast-or-us/northeast-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-wallowa-community-connection-wcc-gtfs-289.zip?alt=media,,44.7619984867002,45.570984,-118.1063098,-117.190035,2022-03-15T21:13:47+00:00,,"wallowa-community-connection/488, northeast-oregon-public-transit/436"
307,gtfs,US,Ohio,Cincinnati,Cincinnati Metro,,http://www.go-metro.com/uploads/GTFS/google_transit_info.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-ohio-cincinnati-metro-gtfs-307.zip?alt=media,,39.06428,39.35716,-84.793912,-84.259938,2022-03-15T21:14:24+00:00,,cincinnati-metro/218
327,gtfs,US,Florida,Sarasota,Sarasota County Area Transit,,https://ftis.org/PostFileDownload.aspx?id=457A0,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-florida-sarasota-county-area-transit-gtfs-327.zip?alt=media,,27.038871,27.493355,-82.587857,-82.205356,2022-03-15T21:15:37+00:00,,sarasota-county-area-transit/376
